"Slug","Title","Career Department","Content"
"control","Control","central-functions",""
"data-bi","Data & BI","central-functions",""
"finance","Finance","central-functions",""
"fpa","FP&A","central-functions",""
"legal-risk-compliance","Legal, Risk & Compliance","central-functions",""
"operations","Operations","central-functions",""
"people","People","central-functions",""
"talent","Talent","central-functions",""
"ceo","CEO","central-functions",""
"executive-leadership-hiring","Executive and Leadership Hiring","central-functions",""
"customer-delivery","Customer Delivery","revenue",""
"customer-leadership","Customer Leadership","revenue",""
"customer-pm","Customer PM","revenue",""
"customer-success","Customer Success","revenue",""
"201040","201040","revenue",""
"customer-support","Customer Support","revenue",""
"learning","Learning","revenue",""
"pricing-innovation","Pricing & Innovation","revenue",""
"field-engineering","Field Engineering","revenue",""
"solutions-engineering","Solutions Engineering","revenue",""
"abfm","ABFM","revenue",""
"abm","ABM","revenue",""
"content","Content","revenue",""
"events","Events","revenue",""
"marketing","Marketing","revenue",""
"pmm","PMM","revenue",""
"product-marketing","Product Marketing","revenue",""
"revops","RevOps","revenue",""
"sdr","SDR","revenue",""
"enablement","Enablement","revenue",""
"revenue-leadership","Revenue | Leadership","revenue",""
"account-executives-international","Account Executives - International","revenue",""
"account-executives-north-america","Account Executives - North America","revenue",""
"account-executives-strategic-accounts","Account Executives - Strategic Accounts","revenue",""
"partners","Partners","revenue",""
"sales","Sales","revenue",""
"ai","AI","technology",""
"delivery","Delivery","technology",""
"engineering-management","Engineering Management","technology",""
"engineering-velocity","Engineering Velocity (EV)","technology",""
"quality","Quality","technology",""
"security","Security","technology",""
"analytics","Analytics","technology",""
"customer-engineering","Customer Engineering","technology",""
"kernel","Kernel","technology",""
"models","Models","technology",""
"platform","Platform","technology",""
"policies","Policies","technology",""
"shared-architecture","Shared Architecture","technology",""
"staff-engineering","Staff Engineering","technology",""
"product-design","Product Design","technology",""
"product-management","Product Management","technology",""
"product-ops","Product Ops","technology",""
"technical-writing","Technical Writing","technology",""
"technology-leadership","Technology Leadership","technology",""
