"Slug","Title","Related Department","Related Teams","Content"
"finance-data","Finance & Data","central-functions","control,data-bi,finance,fpa","<p><br></p>"
"legal-business-operations","Legal and Business Operations","central-functions","legal-risk-compliance,operations","<p><br></p>"
"people","People","central-functions","people,talent","<p><br></p>"
"ceo","CEO","central-functions","ceo,executive-leadership-hiring","<p><br></p>"
"customer-consulting","Customer and Consulting","revenue","customer-delivery,customer-leadership,customer-pm,customer-success,customer-support,learning,pricing-innovation","<p><br></p>"
"field-engineering","Field Engineering","revenue","field-engineering,solutions-engineering","<p><br></p>"
"marketing","Marketing","revenue","abfm,abm,content,events,marketing,pmm,product-marketing,revops,sdr","<p><br></p>"
"revenue","Revenue","revenue","enablement,revenue-leadership","<p><br></p>"
"sales","Sales","revenue","ae-international,ae-north-america,ae-strategic-accounts,partners,sales","<p><br></p>"
"engineering","Engineering","technology","ai,delivery,engineering-management,engineering-velocity,quality,security,analytics,customer-engineering,kernel,models,platform,policies,shared-architecture,staff-engineering","<p><br></p>"
"product","Product","technology","product-design,product-management,product-ops,technical-writing","<p><br></p>"
"technology-leadership","Technology Leadership","technology","technology-leadership","<p><br></p>"
